Charytatywność,Благотворительность
Fundacja,Фонд (например благотворительный)
Fundusz,Фонд (например трастовый)
Streszczenie,"Сокращение, краткий пересказ"
Streszczać,Сокращать
Doprecyzować,Уточнить
Krajoznawstwo,Краеведение
Turystyka,Туризм
Krajoznawca,Краевед
Turysta,Турист
Trasa,Маршрут
Wędrówka,Поход
Wycieczka,Экскурсия
Wyprawa,Экспедиция
Podróż,Путешествие
Biuro podróży,Бюро путешествий
Agencja turystyczna,Туристическое агентство
Mapa,Карта
Kompas,Компас
Menażka,Котелок
Scyzoryk,Перочинный нож
Śpiwór,Спальный мешок
Plecak,Рюкзак
Tornister,Ранец
Lina,Веревка
Przewodnik,"Гид, проводник"
Latarka,Фонарик
Taternictwo,Альпинизм
Ekwipunek,Снаряжение
Obóz,Лагерь
Biwak,Привал
Ognisko,Костер
Opał,Топливо
Namiot,Палатка
Moskitiera,Антимоскитная сетка
Hotel,Гостиница
Schronisko,Турбаза
Pole namiotowe,Кемпинг
Wypoczywać,Отдыхать ( в отпуске)
Turystyczny,Туристический
Odpoczywać,Отдыхать
Turystka,Туристка
Zarezerwować покój,Забронировать номер
Pokój,Номер
Jednoosobowy,Одноместный
Dwuosobowy,Двухместный
Z łazienką,С ванной
Bez łazienki,Без ванны
Ze śniadaniem,С завтраком
Bez śniadania,Без завтрака
Alpinista,Альпинист
Atrakcja,Достопримечательность
Atmosfera,Атмосфера
Autokar,"Автокар, туристический автобус"
Dno,Дно
Doskonały,"Совершенный, прекрасный"
Doświadczenie,Опыт
Ekspedycja,Экспедиция
Gejzer,Гейзер
Komfortowy,Комфортный
Korzystanie,Пользование
Łódź,Лодка
Niepowtarzalny,Неповторимый
Nurek,Ныряльщик
Nurkować,Нырять
Nurkowanie,Ныряние
Odczuć,Почувствовать
Oferować,Предлагать
Oferta,Предложение
Park narodowy,Национальный парк
Piękny,Красивый
Plaża,Пляж
Propozycja,Предложение
Skrywać,Скрывать
Standard,Стандарт
Starożytny,"Древний, античный"
Szczyt,Вершина
Tajemnica,Тайна
Wędkować,Удить рыбу
Wpływać,"Вплывать, заплывать"
Wspinaczka,Скалолазание
Wyspa,Остров
Żaglówka,Парусная лодка
Zakwaterowanie,"Расквартирование, размещение"
Zatopiony,Затопленный
Żeglować,Плавать под парусом
Na podstawie,На основе
Dostać,Получить
Rozporek,Молния
Flizelina,Флизелин
Kwestionariusz,Анкета
Cudzoziemka,Иностранка
Strefa komfortu,Зона комфорта
Hałas,Шум
